CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
278300294,103,QUEENS,12/31/2021,10:20:00,12/31/2021,10:40:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,STREET,12/31/2021,1040590,196082,40.70470542,-73.79679938,"(40.70470541800007, -73.79679937599997)"
783344202,112,QUEENS,12/31/2021,15:06:00,,,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,FRONT OF,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,OTHER,12/31/2021,1027372,201895,40.72073498,-73.84443553,"(40.72073498300006, -73.84443552699997)"
507057072,24,MANHATTAN,12/31/2021,1:13:00,12/31/2021,1:16:00,COMPLETED,,N.Y. POLICE DEPT,233,MISDEMEANOR,FRONT OF,SEX CRIMES,,175,"SEXUAL ABUSE 3,2",STREET,12/31/2021,993336,229488,40.79657114,-73.96718569,"(40.796571143000044, -73.96718568699998)"
504244804,40,BRONX,12/31/2021,21:45:00,12/31/2021,21:53:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,12/31/2021,1007345,236095,40.81468003,-73.91656689,"(40.81468002500004, -73.91656689099993)"
408829377,78,BROOKLYN,12/31/2021,15:40:00,12/31/2021,15:45:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,REAR OF,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",COMMERCIAL BUILDING,12/31/2021,990421,188642,40.68446154,-73.97775121,"(40.68446154300005, -73.97775120999995)"
482432405,49,BRONX,12/31/2021,22:22:00,12/31/2021,22:25:00,COMPLETED,,N.Y. POLICE DEPT,347,MISDEMEANOR,,INTOXICATED & IMPAIRED DRIVING,,905,"INTOXICATED DRIVING,ALCOHOL",STREET,12/31/2021,1027316,255357,40.86747374,-73.84429473,"(40.86747374200007, -73.84429472999993)"
810753013,110,QUEENS,12/31/2021,17:00:00,12/31/2021,17:05:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,338,"LARCENY,PETIT FROM BUILDING,UN",MAILBOX INSIDE,12/31/2021,1022557,211637,40.74749651,-73.86175051,"(40.74749650600006, -73.86175051099997)"
376289079,112,QUEENS,12/31/2021,18:50:00,12/31/2021,19:00:00,COMPLETED,,N.Y. POLICE DEPT,578,VIOLATION,,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",STREET,12/31/2021,1024413,197700,40.70923465,-73.85513535,"(40.70923465200008, -73.85513535299998)"
283910218,70,BROOKLYN,12/31/2021,4:00:00,12/31/2021,4:05:00,COMPLETED,,N.Y. POLICE DEPT,106,FELONY,FRONT OF,FELONY ASSAULT,,109,"ASSAULT 2,1,UNCLASSIFIED",STREET,12/31/2021,996175,173443,40.64273777,-73.9570314,"(40.642737770000046, -73.95703139899997)"
463492856,122,STATEN ISLAND,12/31/2021,14:30:00,12/31/2021,14:39:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE-HOUSE,12/31/2021,960965,157888,40.60001997,-74.08385196,"(40.60001996600005, -74.08385195599999)"
277499434,6,MANHATTAN,12/31/2021,13:40:00,12/31/2021,13:50:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",DRUG STORE,12/31/2021,985731,204729,40.7286186,-73.994658,"(40.72861859600005, -73.99465799699995)"
230855871,67,BROOKLYN,12/31/2021,18:09:00,12/31/2021,18:09:00,COMPLETED,,N.Y. POLICE DEPT,106,FELONY,INSIDE,FELONY ASSAULT,,105,STRANGULATION 1ST,RESIDENCE - APT. HOUSE,12/31/2021,999390,172259,40.63948303,-73.94544926,"(40.639483032000044, -73.94544926399993)"
427741026,10,MANHATTAN,12/31/2021,21:15:00,12/31/2021,21:33:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",DRUG STORE,12/31/2021,983016,211724,40.74781818,-74.004455,"(40.74781818000002, -74.00445500499995)"
468735329,106,QUEENS,12/31/2021,19:45:00,12/31/2021,19:50:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,FRONT OF,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,STREET,12/31/2021,1031898,186190,40.67760528,-73.82821878,"(40.677605279000026, -73.82821877999999)"
445870292,19,MANHATTAN,12/31/2021,4:46:00,12/31/2021,4:59:00,COMPLETED,,N.Y. POLICE DEPT,107,FELONY,INSIDE,BURGLARY,,243,"BURGLARY,UNCLASSIFIED,NIGHT",RESTAURANT/DINER,12/31/2021,997285,222086,40.77624969,-73.95293751,"(40.77624968700008, -73.95293750899998)"
523005965,84,BROOKLYN,12/31/2021,13:25:00,,,COMPLETED,,N.Y. HOUSING POLICE,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,113,"MENACING,UNCLASSIFIED",RESIDENCE - PUBLIC HOUSING,12/31/2021,989978,194182,40.69966787,-73.97934379,"(40.69966786500004, -73.97934378699995)"
742957954,115,QUEENS,12/31/2021,18:30:00,12/31/2021,18:35:00,COMPLETED,,N.Y. POLICE DEPT,126,FELONY,INSIDE,MISCELLANEOUS PENAL LAW,,198,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,12/31/2021,1020711,217755,40.76429665,-73.86837959,"(40.76429664600005, -73.86837958699994)"
357089900,105,QUEENS,12/31/2021,19:10:00,12/31/2021,19:30:00,COMPLETED,,N.Y. POLICE DEPT,111,FELONY,INSIDE,POSSESSION OF STOLEN PROPERTY,,493,"STOLEN PROPERTY-MOTOR VEH 2ND,",STREET,12/31/2021,1057767,203993,40.72629309,-73.73476085,"(40.726293088000034, -73.73476084899994)"
546869987,42,BRONX,12/31/2021,1:36:00,12/31/2021,1:41:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,113,"MENACING,UNCLASSIFIED",GROCERY/BODEGA,12/31/2021,1015390,244557,40.8378811,-73.88746373,"(40.83788109700004, -73.88746373399994)"
901883031,44,BRONX,12/31/2021,13:00:00,12/31/2021,18:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,349,"LARCENY,PETIT OF LICENSE PLATE",STREET,12/31/2021,1008017,240445,40.82661776,-73.91412377,"(40.82661776200007, -73.91412377399996)"
540783928,79,BROOKLYN,12/31/2021,0:10:00,12/31/2021,0:25:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,RESIDENCE - APT. HOUSE,12/31/2021,1000747,189985,40.68813455,-73.94051638,"(40.68813455000002, -73.94051637699994)"
483082684,90,BROOKLYN,12/31/2021,0:26:00,,,COMPLETED,,N.Y. POLICE DEPT,348,MISDEMEANOR,,VEHICLE AND TRAFFIC LAWS,,916,LEAVING SCENE-ACCIDENT-PERSONA,STREET,12/31/2021,995656,197788,40.70955999,-73.95886034,"(40.70955999100005, -73.95886034499993)"
706877794,14,MANHATTAN,12/31/2021,22:30:00,12/31/2021,23:59:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,,GRAND LARCENY,,419,"LARCENY,GRAND FROM PERSON,UNCL",STREET,12/31/2021,988650,214286,40.75484922,-73.98411999,"(40.754849215000036, -73.98411999099994)"
